ID,employee_ID,skill_ID,level,createdAt,createdBy,modifiedAt,modifiedBy
14370071-32ff-4a3e-858f-d4d61369d08d,84274145-d895-47e4-95ea-164b9ca19e6c,23374474-19af-4039-b2ad-703fc94c8da0,INTERMEDIATE,2016-09-10T00:00:00.000Z,createdBy.8k00n@example.com,2008-04-15T00:00:00.000Z,modifiedBy.8k00n@example.org
14370072-73de-4e39-925a-4941606b622d,84274145-d895-47e4-95ea-164b9ca19e6c,23374474-19af-4039-b2ad-703fc94c8da0,INTERMEDIATE,2022-12-15T00:00:00.000Z,createdBy.8k00o@example.org,2001-03-27T00:00:00.000Z,modifiedBy.8k00o@example.org
29157093-a5cf-4710-8079-2e20bee63667,84274154-a717-49e5-9b65-e0ea07d19209,23374474-19af-4039-b2ad-703fc94c8da0,ADVANCED,2021-09-18T00:00:00.000Z,createdBy.hcxr9@example.net,2014-06-17T00:00:00.000Z,modifiedBy.hcxr9@example.org
29157094-e2d3-4c7f-a373-4c892b952083,84274154-a717-49e5-9b65-e0ea07d19209,23374474-19af-4039-b2ad-703fc94c8da0,INTERMEDIATE,2002-02-26T00:00:00.000Z,createdBy.hcxra@example.org,2005-08-25T00:00:00.000Z,modifiedBy.hcxra@example.com
55039657-5e4e-4d35-bd66-447271714aa5,84274166-6fb1-40e9-b0b2-544665cf36a0,23374474-19af-4039-b2ad-703fc94c8da0,INTERMEDIATE,2002-01-19T00:00:00.000Z,createdBy.39yvx@example.org,2006-12-11T00:00:00.000Z,modifiedBy.39yvx@example.com
55039666-0681-44e3-8645-4e5ec6cc018b,84274166-6fb1-40e9-b0b2-544665cf36a0,23374474-19af-4039-b2ad-703fc94c8da0,BEGINNER,2000-06-30T00:00:00.000Z,createdBy.39yvy@example.com,2015-09-05T00:00:00.000Z,modifiedBy.39yvy@example.com
15090051-90fb-44a0-94a1-4fcc8258f2e0,84274176-8227-4c11-88db-5f09af9eda8c,23374474-19af-4039-b2ad-703fc94c8da0,INTERMEDIATE,2002-08-08T00:00:00.000Z,createdBy.wcct@example.com,2013-09-29T00:00:00.000Z,modifiedBy.wcct@example.org
15090069-cdb3-4101-847c-d54ca8086b5e,84274176-8227-4c11-88db-5f09af9eda8c,23374474-19af-4039-b2ad-703fc94c8da0,BEGINNER,2013-06-15T00:00:00.000Z,createdBy.wccu@example.org,2013-06-07T00:00:00.000Z,modifiedBy.wccu@example.net
21072237-b604-4532-a694-6b0b3e60b0aa,84274182-097d-4038-88af-08a7e73340d8,23374474-19af-4039-b2ad-703fc94c8da0,ADVANCED,2004-04-28T00:00:00.000Z,createdBy.cjnfx@example.net,2021-10-29T00:00:00.000Z,modifiedBy.cjnfx@example.org
21072238-d07c-4e61-b4ed-b65b1c41bd60,84274182-097d-4038-88af-08a7e73340d8,23374474-19af-4039-b2ad-703fc94c8da0,BEGINNER,2008-04-06T00:00:00.000Z,createdBy.cjnfy@example.net,2008-10-07T00:00:00.000Z,modifiedBy.cjnfy@example.com
